Codcir,Codmun,Municipio,Censo,Certif_alta,Censo total,Votos_totales,Votos_nulos,Votos_blancos,Abstención,Votos_Válidos,Votos Candidaturas,Geroa Bai,UPN,PSN,EH Bildu,UPyD,I-E,PP,Podemos,Ciudadanos,LN,Equo,PACMA,SAIn,RCN-NOK
31,30,Arellano,145,0,145,107,0,2,38,107,105,22,14,8,32,2,3,5,15,3,0,0,1,0,0
31,31,Areso,222,0,222,154,0,2,68,154,152,39,19,3,74,0,0,2,11,1,1,0,0,0,2
31,32,Arguedas,1726,0,1726,1307,88,32,419,1219,1187,51,342,507,36,2,23,32,147,26,0,3,8,1,9
31,33,Aria,49,0,49,31,1,0,18,30,30,3,6,0,9,0,3,2,6,1,0,0,0,0,0
31,34,Aribe,40,0,40,31,0,1,9,31,30,10,7,0,8,0,1,0,3,0,0,0,0,1,0
31,35,Armañanzas,62,0,62,47,0,4,15,47,43,5,17,9,2,0,1,5,0,1,0,1,0,0,2
31,36,Arróniz,922,0,922,675,16,17,247,659,642,83,149,145,78,1,46,37,78,12,3,2,2,1,5
31,37,Arruazu,89,0,89,68,0,0,21,68,68,22,3,0,33,0,0,0,10,0,0,0,0,0,0
31,38,Artajona,1352,0,1352,1042,22,33,310,1020,987,143,350,161,92,4,28,33,112,34,9,10,4,2,5
31,39,Artazu,86,0,86,60,1,0,26,59,59,12,14,9,14,0,2,1,4,1,0,1,1,0,0
31,40,Atez - Atetz,195,0,195,171,2,6,24,169,163,35,51,6,41,1,2,11,9,6,0,1,0,0,0
31,58,Auritz - Burguete,218,0,218,164,2,6,54,162,156,29,49,7,35,1,6,1,16,7,5,0,0,0,0
31,41,Ayegui - Aiegi,1584,0,1584,1081,9,54,503,1072,1018,164,255,110,158,5,38,36,175,48,1,8,12,0,8
31,42,Azagra,2727,0,2727,2021,38,42,706,1983,1941,36,740,858,23,4,13,83,130,28,1,5,8,2,10
31,43,Azuelo,38,0,38,30,0,2,8,30,28,14,6,3,0,0,2,2,0,0,0,0,1,0,0
31,44,Bakaiku,285,0,285,227,5,5,58,222,217,64,27,4,104,0,1,5,11,0,0,1,0,0,0
31,901,Barañain,15554,4,15558,10916,119,168,4642,10797,10629,1919,2522,1222,1398,62,558,369,1875,360,41,106,87,43,67
31,45,Barásoain,505,0,505,376,4,20,129,372,352,59,82,39,33,4,16,11,84,14,1,3,3,0,3
31,46,Barbarin,62,0,62,38,0,2,24,38,36,1,22,5,2,0,0,4,1,1,0,0,0,0,0
31,47,Bargota,267,0,267,171,3,4,96,168,164,25,48,28,28,0,2,18,9,4,0,2,0,0,0
31,48,Barillas,165,0,165,122,2,0,43,120,120,4,74,7,0,0,0,12,16,6,0,0,0,0,1
31,49,Basaburua,709,0,709,505,1,5,204,504,499,95,57,10,262,0,9,8,51,0,0,1,2,2,2
31,50,Baztan,6065,0,6065,4386,69,92,1679,4317,4225,1139,1046,138,1255,9,122,104,311,47,8,15,18,4,9
